Protein Id,Id,Gene Symbol,Description
sp|Q06831|SOX4_MOUSE,52,Sox4,SOX4_MOUSE Transcription factor SOX-4
sp|Q9EPU4|CPSF1_MOUSE,53,Cpsf1,CPSF1_MOUSE Cleavage and polyadenylation specificity factor subunit 1
sp|Q505K2|F16A1_MOUSE,54,Fam160a1,F16A1_MOUSE Protein FAM160A1
sp|P35822|PTPRK_MOUSE,55,Ptprk,PTPRK_MOUSE Receptor-type tyrosine-protein phosphatase kappa
sp|Q9R0H0-2|ACOX1_MOUSE,56,Acox1,ACOX1_MOUSE Isoform 2 of Peroxisomal acyl-coenzyme A oxidase 1
sp|E9Q1P8|I2BP2_MOUSE,57,Irf2bp2,I2BP2_MOUSE Interferon regulatory factor 2-binding protein 2
sp|Q8K3X4|I2BPL_MOUSE,58,Irf2bpl,I2BPL_MOUSE Interferon regulatory factor 2-binding protein-like
sp|Q6PAJ1|BCR_MOUSE,59,Bcr,BCR_MOUSE Breakpoint cluster region protein
sp|Q5SSL4|ABR_MOUSE,60,Abr,ABR_MOUSE Active breakpoint cluster region-related protein
sp|Q62468|VILI_MOUSE,61,Vil1,VILI_MOUSE Villin-1
tr|F6V2H5|F6V2H5_MOUSE,62,Vil1,F6V2H5_MOUSE Villin-1 (Fragment)
sp|Q80UJ7|RB3GP_MOUSE,63,Rab3gap1,RB3GP_MOUSE Rab3 GTPase-activating protein catalytic subunit
tr|Q91VA7|Q91VA7_MOUSE,64,Idh3b,Q91VA7_MOUSE Isocitrate dehydrogenase 3 (NAD+) beta
sp|Q6P4S8|INT1_MOUSE,65,Ints1,INT1_MOUSE Integrator complex subunit 1
sp|A2APV2|FMNL2_MOUSE,66,Fmnl2,FMNL2_MOUSE Formin-like protein 2
sp|Q6ZPF4|FMNL3_MOUSE,67,Fmnl3,FMNL3_MOUSE Formin-like protein 3
sp|Q9JL26|FMNL_MOUSE,68,Fmnl1,FMNL_MOUSE Formin-like protein 1
tr|F7BE84|F7BE84_MOUSE,69,Ankrd50,F7BE84_MOUSE Protein Ankrd50 (Fragment)
sp|Q9ERK4|XPO2_MOUSE,70,Cse1l,XPO2_MOUSE Exportin-2
sp|P42669|PURA_MOUSE,71,Pura,PURA_MOUSE Transcriptional activator protein Pur-alpha
sp|O35295|PURB_MOUSE,72,Purb,PURB_MOUSE Transcriptional activator protein Pur-beta
sp|P29477|NOS2_MOUSE,73,Nos2,"NOS2_MOUSE Nitric oxide synthase, inducible"
sp|Q8R2U6|NUDT4_MOUSE,74,Nudt4,NUDT4_MOUSE Diphosphoinositol polyphosphate phosphohydrolase 2
sp|Q9JI46|NUDT3_MOUSE,75,Nudt3,NUDT3_MOUSE Diphosphoinositol polyphosphate phosphohydrolase 1
sp|Q8VDJ3|VIGLN_MOUSE,76,Hdlbp,VIGLN_MOUSE Vigilin
sp|Q61233|PLSL_MOUSE,77,Lcp1,PLSL_MOUSE Plastin-2
sp|Q3V0K9|PLSI_MOUSE,78,Pls1,PLSI_MOUSE Plastin-1
sp|Q99K51|PLST_MOUSE,79,Pls3,PLST_MOUSE Plastin-3
sp|Q9ESW4|AGK_MOUSE,80,Agk,"AGK_MOUSE Acylglycerol kinase, mitochondrial"
tr|E9QKT1|E9QKT1_MOUSE,81,Ube3a,E9QKT1_MOUSE Ubiquitin-protein ligase E3A
sp|Q8BFW4|TRI65_MOUSE,82,Trim65,TRI65_MOUSE Tripartite motif-containing protein 65
sp|P55264|ADK_MOUSE,83,Adk,ADK_MOUSE Adenosine kinase
sp|Q5U3K5|RABL6_MOUSE,84,Rabl6,RABL6_MOUSE Rab-like protein 6
sp|Q9EQJ9|MAGI3_MOUSE,85,Magi3,"MAGI3_MOUSE Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"
sp|Q60931|VDAC3_MOUSE,86,Vdac3,VDAC3_MOUSE Voltage-dependent anion-selective channel protein 3
sp|Q60932|VDAC1_MOUSE,87,Vdac1,VDAC1_MOUSE Voltage-dependent anion-selective channel protein 1
sp|Q80XR2|AT2C1_MOUSE,88,Atp2c1,AT2C1_MOUSE Calcium-transporting ATPase type 2C member 1
sp|A7L9Z8|AT2C2_MOUSE,89,Atp2c2,AT2C2_MOUSE Calcium-transporting ATPase type 2C member 2
sp|Q60520|SIN3A_MOUSE,90,Sin3a,SIN3A_MOUSE Paired amphipathic helix protein Sin3a
sp|Q62141|SIN3B_MOUSE,91,Sin3b,SIN3B_MOUSE Paired amphipathic helix protein Sin3b
sp|Q9CQN1|TRAP1_MOUSE,92,Trap1,"TRAP1_MOUSE Heat shock protein 75 kDa, mitochondrial"
sp|P07901|HS90A_MOUSE,93,Hsp90aa1,HS90A_MOUSE Heat shock protein HSP 90-alpha
sp|P11499|HS90B_MOUSE,94,Hsp90ab1,HS90B_MOUSE Heat shock protein HSP 90-beta
sp|P08113|ENPL_MOUSE,95,Hsp90b1,ENPL_MOUSE Endoplasmin
tr|A2A6A2|A2A6A2_MOUSE,96,Hsp90aa1,A2A6A2_MOUSE Heat shock protein HSP 90-alpha (Fragment)
tr|E9Q0C3|E9Q0C3_MOUSE,97,Hsp90ab1,E9Q0C3_MOUSE Heat shock protein HSP 90-beta (Fragment)
tr|A2AU89|A2AU89_MOUSE,98,Trp53bp1,A2AU89_MOUSE Tumor suppressor p53-binding protein 1
sp|Q8C7H1|MMAA_MOUSE,99,Mmaa,"MMAA_MOUSE Methylmalonic aciduria type A homolog, mitochondrial"
sp|O35855|BCAT2_MOUSE,100,Bcat2,"BCAT2_MOUSE Branched-chain-amino-acid aminotransferase, mitochondrial"
sp|Q9JLI6|SCLY_MOUSE,101,Scly,SCLY_MOUSE Selenocysteine lyase
tr|F7D651|F7D651_MOUSE,102,Scly,F7D651_MOUSE Selenocysteine lyase (Fragment)
sp|Q9Z2G6|SE1L1_MOUSE,103,Sel1l,SE1L1_MOUSE Protein sel-1 homolog 1
sp|Q8CHT0|AL4A1_MOUSE,104,Aldh4a1,"AL4A1_MOUSE Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
sp|Q80X32|CE024_MOUSE,105,,CE024_MOUSE UPF0461 protein C5orf24 homolog
sp|P97868|RBBP6_MOUSE,106,Rbbp6,RBBP6_MOUSE E3 ubiquitin-protein ligase RBBP6
sp|P35601|RFC1_MOUSE,107,Rfc1,RFC1_MOUSE Replication factor C subunit 1
sp|F6ZDS4|TPR_MOUSE,108,Tpr,TPR_MOUSE Nucleoprotein TPR
sp|Q3U1F9|PHAG1_MOUSE,109,Pag1,PHAG1_MOUSE Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
sp|Q9WUZ9|ENTP5_MOUSE,110,Entpd5,ENTP5_MOUSE Ectonucleoside triphosphate diphosphohydrolase 5
sp|P70236|MP2K6_MOUSE,111,Map2k6,MP2K6_MOUSE Dual specificity mitogen-activated protein kinase kinase 6
sp|O09110|MP2K3_MOUSE,112,Map2k3,MP2K3_MOUSE Dual specificity mitogen-activated protein kinase kinase 3
sp|Q99M04|LIAS_MOUSE,113,Lias,"LIAS_MOUSE Lipoyl synthase, mitochondrial"
sp|P97765|WBP2_MOUSE,114,Wbp2,WBP2_MOUSE WW domain-binding protein 2
sp|Q9WTX2|PRKRA_MOUSE,115,Prkra,PRKRA_MOUSE Interferon-inducible double-stranded RNA-dependent protein kinase activator A
sp|Q08509|EPS8_MOUSE,116,Eps8,EPS8_MOUSE Epidermal growth factor receptor kinase substrate 8
