Protein Id,Id,Gene Symbol,Description
sp|Q09143|CTR1_MOUSE,3703,Slc7a1,CTR1_MOUSE High affinity cationic amino acid transporter 1
sp|Q8CHW4|EI2BE_MOUSE,3704,Eif2b5,EI2BE_MOUSE Translation initiation factor eIF-2B subunit epsilon
sp|Q8BFS6|CPPED_MOUSE,3705,Cpped1,CPPED_MOUSE Calcineurin-like phosphoesterase domain-containing protein 1
tr|A2A483|A2A483_MOUSE,3706,Zmynd8,A2A483_MOUSE Protein Zmynd8
sp|Q91ZM2|SH2B1_MOUSE,3707,Sh2b1,SH2B1_MOUSE SH2B adapter protein 1
sp|P34022|RANG_MOUSE,3708,Ranbp1,RANG_MOUSE Ran-specific GTPase-activating protein
sp|Q2VPU4|MLXIP_MOUSE,3709,Mlxip,MLXIP_MOUSE MLX-interacting protein
sp|O54782|MA2B2_MOUSE,3710,Man2b2,MA2B2_MOUSE Epididymis-specific alpha-mannosidase
sp|Q8BTX9|HSDL1_MOUSE,3711,Hsdl1,HSDL1_MOUSE Inactive hydroxysteroid dehydrogenase-like protein 1
sp|Q8R3C6|RBM19_MOUSE,3712,Rbm19,RBM19_MOUSE Probable RNA-binding protein 19
sp|Q8VCI0|PLBL1_MOUSE,3713,Plbd1,PLBL1_MOUSE Phospholipase B-like 1
sp|Q8BZH4|POGZ_MOUSE,3714,Pogz,POGZ_MOUSE Pogo transposable element with ZNF domain
sp|Q78IK4|APOOL_MOUSE,3715,Apool,APOOL_MOUSE Apolipoprotein O-like
sp|Q64455|PTPRJ_MOUSE,3716,Ptprj,PTPRJ_MOUSE Receptor-type tyrosine-protein phosphatase eta
sp|Q8BFW7|LPP_MOUSE,3717,Lpp,LPP_MOUSE Lipoma-preferred partner homolog
tr|B1AUN2|B1AUN2_MOUSE,3718,Eif2b3,B1AUN2_MOUSE MCG14442
sp|Q61598|GDIB_MOUSE,3719,Gdi2,GDIB_MOUSE Rab GDP dissociation inhibitor beta
sp|P50396|GDIA_MOUSE,3720,Gdi1,GDIA_MOUSE Rab GDP dissociation inhibitor alpha
sp|O88696|CLPP_MOUSE,3721,Clpp,"CLPP_MOUSE ATP-dependent Clp protease proteolytic subunit, mitochondrial"
sp|Q8C3K6|SC5A1_MOUSE,3722,Slc5a1,SC5A1_MOUSE Sodium/glucose cotransporter 1
sp|Q9DCS9|NDUBA_MOUSE,3723,Ndufb10,NDUBA_MOUSE NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
sp|O35640|ANXA8_MOUSE,3724,Anxa8,ANXA8_MOUSE Annexin A8
tr|A2AD03|A2AD03_MOUSE,3725,Chm,A2AD03_MOUSE Rab proteins geranylgeranyltransferase component A 1
tr|B1ARD6|B1ARD6_MOUSE,3726,Slfn9,B1ARD6_MOUSE Protein Slfn9
sp|Q80TN4|DJC16_MOUSE,3727,Dnajc16,DJC16_MOUSE DnaJ homolog subfamily C member 16
sp|P35582|FOXA1_MOUSE,3728,Foxa1,FOXA1_MOUSE Hepatocyte nuclear factor 3-alpha
sp|P35584|FOXA3_MOUSE,3729,Foxa3,FOXA3_MOUSE Hepatocyte nuclear factor 3-gamma
sp|Q149F3|ERF3B_MOUSE,3730,Gspt2,ERF3B_MOUSE Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
sp|Q8R050|ERF3A_MOUSE,3731,Gspt1,ERF3A_MOUSE Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
sp|P70265|F262_MOUSE,3732,Pfkfb2,"F262_MOUSE 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
tr|A2AUP1|A2AUP1_MOUSE,3733,Pfkfb3,A2AUP1_MOUSE Protein Pfkfb3
tr|Q9MD68|Q9MD68_MOUSE,3734,mt-Co1,Q9MD68_MOUSE Cytochrome c oxidase subunit 1
sp|Q8BMJ3|IF1AX_MOUSE,3735,Eif1ax,"IF1AX_MOUSE Eukaryotic translation initiation factor 1A, X-chromosomal"
tr|J3QNT6|J3QNT6_MOUSE,3736,Gm5039,J3QNT6_MOUSE Uncharacterized protein
sp|P14094|AT1B1_MOUSE,3737,Atp1b1,AT1B1_MOUSE Sodium/potassium-transporting ATPase subunit beta-1
sp|P40142|TKT_MOUSE,3738,Tkt,TKT_MOUSE Transketolase
sp|O09049|REG3G_MOUSE,3739,Reg3g,REG3G_MOUSE Regenerating islet-derived protein 3-gamma
sp|Q9DBB8|DHDH_MOUSE,3740,Dhdh,"DHDH_MOUSE Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
sp|Q8BTU1|CP080_MOUSE,3741,Gtl3,CP080_MOUSE UPF0468 protein C16orf80 homolog
sp|A2AKG8|FOCAD_MOUSE,3742,Focad,FOCAD_MOUSE Focadhesin
sp|Q9Z1Y4|TRIP6_MOUSE,3743,Trip6,TRIP6_MOUSE Thyroid receptor-interacting protein 6
tr|D3YZC9|D3YZC9_MOUSE,3744,Sf1,D3YZC9_MOUSE Splicing factor 1
sp|Q9D8N2|FA45A_MOUSE,3745,Fam45a,FA45A_MOUSE Protein FAM45A
sp|Q99P72|RTN4_MOUSE,3746,Rtn4,RTN4_MOUSE Reticulon-4
tr|Q8BH78|Q8BH78_MOUSE,3747,Rtn4,Q8BH78_MOUSE Reticulon
sp|Q9CWD8|NUBPL_MOUSE,3748,Nubpl,NUBPL_MOUSE Iron-sulfur protein NUBPL
sp|Q3UND0|SKAP2_MOUSE,3749,Skap2,SKAP2_MOUSE Src kinase-associated phosphoprotein 2
sp|Q9JM76|ARPC3_MOUSE,3750,Arpc3,ARPC3_MOUSE Actin-related protein 2/3 complex subunit 3
sp|P97363|SPTC2_MOUSE,3751,Sptlc2,SPTC2_MOUSE Serine palmitoyltransferase 2
sp|Q5RJG1|NOL10_MOUSE,3752,Nol10,NOL10_MOUSE Nucleolar protein 10
sp|Q8R151|ZNFX1_MOUSE,3753,Znfx1,ZNFX1_MOUSE NFX1-type zinc finger-containing protein 1
sp|Q8R307|VPS18_MOUSE,3754,Vps18,VPS18_MOUSE Vacuolar protein sorting-associated protein 18 homolog
sp|P25322|CCND1_MOUSE,3755,Ccnd1,CCND1_MOUSE G1/S-specific cyclin-D1
sp|P30280|CCND2_MOUSE,3756,Ccnd2,CCND2_MOUSE G1/S-specific cyclin-D2
sp|Q91V04|TRAM1_MOUSE,3757,Tram1,TRAM1_MOUSE Translocating chain-associated membrane protein 1
sp|Q9D0T1|NH2L1_MOUSE,3758,Nhp2l1,NH2L1_MOUSE NHP2-like protein 1
sp|Q921X9|PDIA5_MOUSE,3759,Pdia5,PDIA5_MOUSE Protein disulfide-isomerase A5
sp|Q6PCP5|MFF_MOUSE,3760,Mff,MFF_MOUSE Mitochondrial fission factor
sp|Q8C460|ERI3_MOUSE,3761,Eri3,ERI3_MOUSE ERI1 exoribonuclease 3
sp|Q8R3Q0|SARAF_MOUSE,3762,Tmem66,SARAF_MOUSE Store-operated calcium entry-associated regulatory factor
sp|Q9WUK2|IF4H_MOUSE,3763,Eif4h,IF4H_MOUSE Eukaryotic translation initiation factor 4H
sp|Q9D306|MGT4C_MOUSE,3764,Mgat4c,"MGT4C_MOUSE Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C"
sp|Q80XS6|SMAG2_MOUSE,3765,Samd4b,SMAG2_MOUSE Protein Smaug homolog 2
sp|Q8VDT9|RM50_MOUSE,3766,Mrpl50,"RM50_MOUSE 39S ribosomal protein L50, mitochondrial"
tr|Q31093|Q31093_MOUSE,3767,H2-M3,"Q31093_MOUSE Histocompatibility 2, M region locus 3"
sp|Q9DCH4|EIF3F_MOUSE,3768,Eif3f,EIF3F_MOUSE Eukaryotic translation initiation factor 3 subunit F
sp|O54962|BAF_MOUSE,3769,Banf1,BAF_MOUSE Barrier-to-autointegration factor
sp|O54956|DPOE2_MOUSE,3770,Pole2,DPOE2_MOUSE DNA polymerase epsilon subunit 2
sp|A2AGH6|MED12_MOUSE,3771,Med12,MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12
sp|Q8CI71|CC132_MOUSE,3772,Ccdc132,CC132_MOUSE Coiled-coil domain-containing protein 132
sp|P28653|PGS1_MOUSE,3773,Bgn,PGS1_MOUSE Biglycan
sp|Q99LR1|ABD12_MOUSE,3774,Abhd12,ABD12_MOUSE Monoacylglycerol lipase ABHD12
sp|Q61122|NAB1_MOUSE,3775,Nab1,NAB1_MOUSE NGFI-A-binding protein 1
tr|E0CZ22|E0CZ22_MOUSE,3776,Mroh1,E0CZ22_MOUSE Protein Mroh1
sp|Q8VEE0|RPE_MOUSE,3777,Rpe,RPE_MOUSE Ribulose-phosphate 3-epimerase
sp|Q80SY4|MIB1_MOUSE,3778,Mib1,MIB1_MOUSE E3 ubiquitin-protein ligase MIB1
sp|B2RXR6|ANR44_MOUSE,3779,Ankrd44,ANR44_MOUSE Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
sp|Q9ERE7|MESD_MOUSE,3780,Mesdc2,MESD_MOUSE LDLR chaperone MESD
sp|P06800|PTPRC_MOUSE,3781,Ptprc,PTPRC_MOUSE Receptor-type tyrosine-protein phosphatase C
tr|Q3ULB1|Q3ULB1_MOUSE,3782,Tes,Q3ULB1_MOUSE Testin
sp|O70433|FHL2_MOUSE,3783,Fhl2,FHL2_MOUSE Four and a half LIM domains protein 2
sp|Q9DCH2|POP7_MOUSE,3784,Pop7,POP7_MOUSE Ribonuclease P protein subunit p20
sp|Q504N0|CBPA2_MOUSE,3785,Cpa2,CBPA2_MOUSE Carboxypeptidase A2
sp|Q91VH6|MEMO1_MOUSE,3786,Memo1,MEMO1_MOUSE Protein MEMO1
sp|Q9D2D7|ZN687_MOUSE,3787,Znf687,ZN687_MOUSE Zinc finger protein 687
sp|Q8C0Z1|ITFG3_MOUSE,3788,Itfg3,ITFG3_MOUSE Protein ITFG3
sp|Q8WTY4|CPIN1_MOUSE,3789,Ciapin1,CPIN1_MOUSE Anamorsin
sp|Q4KML4|ABRAL_MOUSE,3790,Abracl,ABRAL_MOUSE Costars family protein ABRACL
sp|Q8VCX5|MICU1_MOUSE,3791,Micu1,"MICU1_MOUSE Calcium uptake protein 1, mitochondrial"
sp|Q9DBQ7|PACE1_MOUSE,3792,Scyl3,PACE1_MOUSE Protein-associating with the carboxyl-terminal domain of ezrin
tr|E9Q137|E9Q137_MOUSE,3793,Tex264,E9Q137_MOUSE Protein Tex264
sp|Q9QXM0|ABHD2_MOUSE,3794,Abhd2,ABHD2_MOUSE Abhydrolase domain-containing protein 2
sp|P21614|VTDB_MOUSE,3795,Gc,VTDB_MOUSE Vitamin D-binding protein
sp|F7BWT7|TSN15_MOUSE,3796,Tspan15,TSN15_MOUSE Tetraspanin-15
sp|Q8BJU2|TSN9_MOUSE,3797,Tspan9,TSN9_MOUSE Tetraspanin-9
sp|Q62392|PHLA1_MOUSE,3798,Phlda1,PHLA1_MOUSE Pleckstrin homology-like domain family A member 1
sp|P62983|RS27A_MOUSE,3799,Rps27a,RS27A_MOUSE Ubiquitin-40S ribosomal protein S27a
sp|P0CG49|UBB_MOUSE,3800,Ubb,UBB_MOUSE Polyubiquitin-B
sp|Q60848|HELLS_MOUSE,3801,Hells,HELLS_MOUSE Lymphocyte-specific helicase
sp|A2AIV2|VIR_MOUSE,3802,Kiaa1429,VIR_MOUSE Protein virilizer homolog
sp|Q8R1Q8|DC1L1_MOUSE,3803,Dync1li1,DC1L1_MOUSE Cytoplasmic dynein 1 light intermediate chain 1
sp|Q6PDL0|DC1L2_MOUSE,3804,Dync1li2,DC1L2_MOUSE Cytoplasmic dynein 1 light intermediate chain 2
sp|P09055|ITB1_MOUSE,3805,Itgb1,ITB1_MOUSE Integrin beta-1
sp|Q9Z0T9|ITB6_MOUSE,3806,Itgb6,ITB6_MOUSE Integrin beta-6
sp|Q05921|RN5A_MOUSE,3807,Rnasel,RN5A_MOUSE 2-5A-dependent ribonuclease
sp|Q9D2Y9|ELOV7_MOUSE,3808,Elovl7,ELOV7_MOUSE Elongation of very long chain fatty acids protein 7
sp|Q99JW4|LIMS1_MOUSE,3809,Lims1,LIMS1_MOUSE LIM and senescent cell antigen-like-containing domain protein 1
sp|Q91XD2|LIMS2_MOUSE,3810,Lims2,LIMS2_MOUSE LIM and senescent cell antigen-like-containing domain protein 2
sp|Q99LH1|NOG2_MOUSE,3811,Gnl2,NOG2_MOUSE Nucleolar GTP-binding protein 2
sp|P06909|CFAH_MOUSE,3812,Cfh,CFAH_MOUSE Complement factor H
tr|Q4LDF6|Q4LDF6_MOUSE,3813,Cfhr2,Q4LDF6_MOUSE Protein Cfhr2 (Precursor)
tr|E9PUM5|E9PUM5_MOUSE,3814,Gm4788,E9PUM5_MOUSE Protein Gm4788
sp|P83741|WNK1_MOUSE,3815,Wnk1,WNK1_MOUSE Serine/threonine-protein kinase WNK1
sp|Q3UH66|WNK2_MOUSE,3816,Wnk2,WNK2_MOUSE Serine/threonine-protein kinase WNK2
sp|O55123|MMP10_MOUSE,3817,Mmp10,MMP10_MOUSE Stromelysin-2
sp|Q9JLJ5|ELOV1_MOUSE,3818,Elovl1,ELOV1_MOUSE Elongation of very long chain fatty acids protein 1
sp|Q8C5W0|CLMN_MOUSE,3819,Clmn,CLMN_MOUSE Calmin
sp|P01592|IGJ_MOUSE,3820,Igj,IGJ_MOUSE Immunoglobulin J chain
sp|O54890|ITB3_MOUSE,3821,Itgb3,ITB3_MOUSE Integrin beta-3
sp|B9EKR1|PRPTZ_MOUSE,3822,Ptprz1,PRPTZ_MOUSE Receptor-type tyrosine-protein phosphatase zeta
sp|P70335|ROCK1_MOUSE,3823,Rock1,ROCK1_MOUSE Rho-associated protein kinase 1
sp|P70336|ROCK2_MOUSE,3824,Rock2,ROCK2_MOUSE Rho-associated protein kinase 2
sp|Q9JHC0|GPX2_MOUSE,3825,Gpx2,GPX2_MOUSE Glutathione peroxidase 2
sp|Q9D868-2|PPIH_MOUSE,3826,Ppih,PPIH_MOUSE Isoform 2 of Peptidyl-prolyl cis-trans isomerase H
sp|Q99MD6|TRXR3_MOUSE,3827,Txnrd3,TRXR3_MOUSE Thioredoxin reductase 3
sp|Q8VC70|RBMS2_MOUSE,3828,Rbms2,"RBMS2_MOUSE RNA-binding motif, single-stranded-interacting protein 2"
sp|Q91W59|RBMS1_MOUSE,3829,Rbms1,"RBMS1_MOUSE RNA-binding motif, single-stranded-interacting protein 1"
sp|P19467|MUC13_MOUSE,3830,Muc13,MUC13_MOUSE Mucin-13
sp|E9Q5F9|SETD2_MOUSE,3831,Setd2,SETD2_MOUSE Histone-lysine N-methyltransferase SETD2
sp|Q91ZJ5|UGPA_MOUSE,3832,Ugp2,UGPA_MOUSE UTP--glucose-1-phosphate uridylyltransferase
sp|Q924A2|CIC_MOUSE,3833,Cic,CIC_MOUSE Protein capicua homolog
sp|P19253|RL13A_MOUSE,3834,Rpl13a,RL13A_MOUSE 60S ribosomal protein L13a
sp|O70194|EIF3D_MOUSE,3835,Eif3d,EIF3D_MOUSE Eukaryotic translation initiation factor 3 subunit D
sp|Q9ESL4|MLTK_MOUSE,3836,Zak,MLTK_MOUSE Mitogen-activated protein kinase kinase kinase MLT
sp|Q9ESL4-2|MLTK_MOUSE,3837,Zak,MLTK_MOUSE Isoform 2 of Mitogen-activated protein kinase kinase kinase MLT
sp|Q8VCK7|SYCN_MOUSE,3838,Sycn,SYCN_MOUSE Syncollin
sp|Q8C7D2|CRBN_MOUSE,3839,Crbn,CRBN_MOUSE Protein cereblon
tr|Q8CIH9|Q8CIH9_MOUSE,3840,Ppat,Q8CIH9_MOUSE Amidophosphoribosyltransferase
sp|Q3UTY6|THSD4_MOUSE,3841,Thsd4,THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4
sp|Q8C6G8|WDR26_MOUSE,3842,Wdr26,WDR26_MOUSE WD repeat-containing protein 26
sp|Q8VDQ8|SIR2_MOUSE,3843,Sirt2,SIR2_MOUSE NAD-dependent protein deacetylase sirtuin-2
sp|Q9JJY3|NSMA2_MOUSE,3844,Smpd3,NSMA2_MOUSE Sphingomyelin phosphodiesterase 3
sp|Q6P9Q6|FKB15_MOUSE,3845,Fkbp15,FKB15_MOUSE FK506-binding protein 15
tr|E9Q4P1|E9Q4P1_MOUSE,3846,Wdfy1,E9Q4P1_MOUSE Protein Wdfy1
sp|Q91YL2|RN126_MOUSE,3847,Rnf126,RN126_MOUSE E3 ubiquitin-protein ligase RNF126
sp|P61082|UBC12_MOUSE,3848,Ube2m,UBC12_MOUSE NEDD8-conjugating enzyme Ubc12
sp|Q6P7W0|SENP6_MOUSE,3849,Senp6,SENP6_MOUSE Sentrin-specific protease 6
sp|Q8C4Q6|AIDA_MOUSE,3850,Aida,"AIDA_MOUSE Axin interactor, dorsalization-associated protein"
sp|Q9D071|MMS19_MOUSE,3851,Mms19,MMS19_MOUSE MMS19 nucleotide excision repair protein homolog
sp|Q2YDW2|MSTO1_MOUSE,3852,Msto1,MSTO1_MOUSE Protein misato homolog 1
sp|Q8BZM1|GLMN_MOUSE,3853,Glmn,GLMN_MOUSE Glomulin
sp|Q07832|PLK1_MOUSE,3854,Plk1,PLK1_MOUSE Serine/threonine-protein kinase PLK1
sp|P51432|PLCB3_MOUSE,3855,Plcb3,"PLCB3_MOUSE 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"
sp|Q9ER80|RTP4_MOUSE,3856,Rtp4,RTP4_MOUSE Receptor-transporting protein 4
sp|Q8R1V4|TMED4_MOUSE,3857,Tmed4,TMED4_MOUSE Transmembrane emp24 domain-containing protein 4
sp|Q99KF1|TMED9_MOUSE,3858,Tmed9,TMED9_MOUSE Transmembrane emp24 domain-containing protein 9
sp|A2AKQ8|T30A2_MOUSE,3859,Ttc30a2,T30A2_MOUSE Tetratricopeptide repeat protein 30A2
tr|A2ACC6|A2ACC6_MOUSE,3860,Ralgapb,A2ACC6_MOUSE Ral GTPase-activating protein subunit beta
sp|Q91W45|PAI2B_MOUSE,3861,Paip2b,PAI2B_MOUSE Polyadenylate-binding protein-interacting protein 2B
sp|Q9D6V8|PAIP2_MOUSE,3862,Paip2,PAIP2_MOUSE Polyadenylate-binding protein-interacting protein 2
sp|Q99LH4|ZN672_MOUSE,3863,Znf672,ZN672_MOUSE Zinc finger protein 672
sp|P20352|TF_MOUSE,3864,F3,TF_MOUSE Tissue factor
sp|P27641|XRCC5_MOUSE,3865,Xrcc5,XRCC5_MOUSE X-ray repair cross-complementing protein 5
sp|P97792|CXAR_MOUSE,3866,Cxadr,CXAR_MOUSE Coxsackievirus and adenovirus receptor homolog
sp|O89103|C1QR1_MOUSE,3867,Cd93,C1QR1_MOUSE Complement component C1q receptor
sp|A6PWY4|WDR76_MOUSE,3868,Wdr76,WDR76_MOUSE WD repeat-containing protein 76
sp|P31266|SUH_MOUSE,3869,Rbpj,SUH_MOUSE Recombining binding protein suppressor of hairless
sp|Q9QZB7|ARP10_MOUSE,3870,Actr10,ARP10_MOUSE Actin-related protein 10
sp|Q91WB4|PKHF2_MOUSE,3871,Plekhf2,PKHF2_MOUSE Pleckstrin homology domain-containing family F member 2
sp|O08573-2|LEG9_MOUSE,3872,Lgals9,LEG9_MOUSE Isoform Short of Galectin-9
sp|Q9JJX7|TYDP2_MOUSE,3873,Tdp2,TYDP2_MOUSE Tyrosyl-DNA phosphodiesterase 2
sp|Q9JJY4|DDX20_MOUSE,3874,Ddx20,DDX20_MOUSE Probable ATP-dependent RNA helicase DDX20
sp|Q9QYC0|ADDA_MOUSE,3875,Add1,ADDA_MOUSE Alpha-adducin
tr|F8WGR0|F8WGR0_MOUSE,3876,Add1,F8WGR0_MOUSE Alpha-adducin
sp|Q8VDP2|CX056_MOUSE,3877,,CX056_MOUSE UPF0428 protein CXorf56 homolog
sp|Q9CQR6|PPP6_MOUSE,3878,Ppp6c,PPP6_MOUSE Serine/threonine-protein phosphatase 6 catalytic subunit
sp|Q63961|EGLN_MOUSE,3879,Eng,EGLN_MOUSE Endoglin
sp|P17563|SBP1_MOUSE,3880,Selenbp1,SBP1_MOUSE Selenium-binding protein 1
sp|Q9CQA3|SDHB_MOUSE,3881,Sdhb,"SDHB_MOUSE Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
sp|Q8BVA5|CB043_MOUSE,3882,,CB043_MOUSE UPF0554 protein C2orf43 homolog
tr|B1ATD4|B1ATD4_MOUSE,3883,Mtmr3,B1ATD4_MOUSE Myotubularin-related protein 3 (Fragment)
sp|O35239|PTN9_MOUSE,3884,Ptpn9,PTN9_MOUSE Tyrosine-protein phosphatase non-receptor type 9
sp|Q60823|AKT2_MOUSE,3885,Akt2,AKT2_MOUSE RAC-beta serine/threonine-protein kinase
sp|P31750|AKT1_MOUSE,3886,Akt1,AKT1_MOUSE RAC-alpha serine/threonine-protein kinase
sp|Q8BSK8|KS6B1_MOUSE,3887,Rps6kb1,KS6B1_MOUSE Ribosomal protein S6 kinase beta-1
sp|Q9WUA6|AKT3_MOUSE,3888,Akt3,AKT3_MOUSE RAC-gamma serine/threonine-protein kinase
sp|Q9Z1M4|KS6B2_MOUSE,3889,Rps6kb2,KS6B2_MOUSE Ribosomal protein S6 kinase beta-2
sp|Q8CD10|MICU2_MOUSE,3890,Micu2,"MICU2_MOUSE Calcium uptake protein 2, mitochondrial"
sp|Q8BGF3|WDR92_MOUSE,3891,Wdr92,WDR92_MOUSE WD repeat-containing protein 92
sp|P55002|MFAP2_MOUSE,3892,Mfap2,MFAP2_MOUSE Microfibrillar-associated protein 2
sp|Q9D4H9-2|PHF14_MOUSE,3893,Phf14,PHF14_MOUSE Isoform 2 of PHD finger protein 14
sp|P61161|ARP2_MOUSE,3894,Actr2,ARP2_MOUSE Actin-related protein 2
sp|Q9CR98|F136A_MOUSE,3895,Fam136a,F136A_MOUSE Protein FAM136A
sp|O54785|LIMK2_MOUSE,3896,Limk2,LIMK2_MOUSE LIM domain kinase 2
sp|Q64735|CR1L_MOUSE,3897,Cr1l,CR1L_MOUSE Complement component receptor 1-like protein
sp|O55236|MCE1_MOUSE,3898,Rngtt,MCE1_MOUSE mRNA-capping enzyme
sp|Q7TPD1|FBX11_MOUSE,3899,Fbxo11,FBX11_MOUSE F-box only protein 11
sp|O35309|NMI_MOUSE,3900,Nmi,NMI_MOUSE N-myc-interactor
sp|Q9EQ61|PESC_MOUSE,3901,Pes1,PESC_MOUSE Pescadillo homolog
sp|Q6GV12|KDSR_MOUSE,3902,Kdsr,KDSR_MOUSE 3-ketodihydrosphingosine reductase
sp|P62075|TIM13_MOUSE,3903,Timm13,TIM13_MOUSE Mitochondrial import inner membrane translocase subunit Tim13
sp|Q9QYY0|GAB1_MOUSE,3904,Gab1,GAB1_MOUSE GRB2-associated-binding protein 1
sp|Q9WUA1|WIF1_MOUSE,3905,Wif1,WIF1_MOUSE Wnt inhibitory factor 1
sp|Q9WVH9|FBLN5_MOUSE,3906,Fbln5,FBLN5_MOUSE Fibulin-5
sp|Q61081|CDC37_MOUSE,3907,Cdc37,CDC37_MOUSE Hsp90 co-chaperone Cdc37
sp|Q9JHI7|EXOS9_MOUSE,3908,Exosc9,EXOS9_MOUSE Exosome complex component RRP45
sp|Q80YQ2|MED23_MOUSE,3909,Med23,MED23_MOUSE Mediator of RNA polymerase II transcription subunit 23
sp|Q3UM45|PP1R7_MOUSE,3910,Ppp1r7,PP1R7_MOUSE Protein phosphatase 1 regulatory subunit 7
sp|Q8R3S6|EXOC1_MOUSE,3911,Exoc1,EXOC1_MOUSE Exocyst complex component 1
sp|P50543|S10AB_MOUSE,3912,S100a11,S10AB_MOUSE Protein S100-A11
sp|P16014|SCG1_MOUSE,3913,Chgb,SCG1_MOUSE Secretogranin-1
sp|P27048|RSMB_MOUSE,3914,Snrpb,RSMB_MOUSE Small nuclear ribonucleoprotein-associated protein B
sp|Q9CTH6|FCF1_MOUSE,3915,Fcf1,FCF1_MOUSE rRNA-processing protein FCF1 homolog
sp|Q9EST4|PSMG2_MOUSE,3916,Psmg2,PSMG2_MOUSE Proteasome assembly chaperone 2
sp|Q07456|AMBP_MOUSE,3917,Ambp,AMBP_MOUSE Protein AMBP
tr|Q9Z0I7|Q9Z0I7_MOUSE,3918,Slfn1,Q9Z0I7_MOUSE Protein Slfn1
sp|O09030|I13R1_MOUSE,3919,Il13ra1,I13R1_MOUSE Interleukin-13 receptor subunit alpha-1
sp|Q99P88|NU155_MOUSE,3920,Nup155,NU155_MOUSE Nuclear pore complex protein Nup155
sp|Q61398|PCOC1_MOUSE,3921,Pcolce,PCOC1_MOUSE Procollagen C-endopeptidase enhancer 1
sp|Q8K3J1|NDUS8_MOUSE,3922,Ndufs8,"NDUS8_MOUSE NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
sp|P14211|CALR_MOUSE,3923,Calr,CALR_MOUSE Calreticulin
sp|Q6P9R1|DDX51_MOUSE,3924,Ddx51,DDX51_MOUSE ATP-dependent RNA helicase DDX51
sp|P29533|VCAM1_MOUSE,3925,Vcam1,VCAM1_MOUSE Vascular cell adhesion protein 1
sp|Q3TXU5|DHYS_MOUSE,3926,Dhps,DHYS_MOUSE Deoxyhypusine synthase
sp|P97873|LOXL1_MOUSE,3927,Loxl1,LOXL1_MOUSE Lysyl oxidase homolog 1
sp|Q7TNG5|EMAL2_MOUSE,3928,Eml2,EMAL2_MOUSE Echinoderm microtubule-associated protein-like 2
sp|Q62059|CSPG2_MOUSE,3929,Vcan,CSPG2_MOUSE Versican core protein
sp|Q924W5|SMC6_MOUSE,3930,Smc6,SMC6_MOUSE Structural maintenance of chromosomes protein 6
sp|Q9JLN9|MTOR_MOUSE,3931,Mtor,MTOR_MOUSE Serine/threonine-protein kinase mTOR
sp|Q8R480|NUP85_MOUSE,3932,Nup85,NUP85_MOUSE Nuclear pore complex protein Nup85
sp|Q8R1B4|EIF3C_MOUSE,3933,Eif3c,EIF3C_MOUSE Eukaryotic translation initiation factor 3 subunit C
sp|Q9CRB2|NHP2_MOUSE,3934,Nhp2,NHP2_MOUSE H/ACA ribonucleoprotein complex subunit 2
sp|P28700|RXRA_MOUSE,3935,Rxra,RXRA_MOUSE Retinoic acid receptor RXR-alpha
sp|O88597|BECN1_MOUSE,3936,Becn1,BECN1_MOUSE Beclin-1
sp|Q8CIN4|PAK2_MOUSE,3937,Pak2,PAK2_MOUSE Serine/threonine-protein kinase PAK 2
sp|O88643|PAK1_MOUSE,3938,Pak1,PAK1_MOUSE Serine/threonine-protein kinase PAK 1
sp|Q3TBD2|HMHA1_MOUSE,3939,Hmha1,HMHA1_MOUSE Minor histocompatibility protein HA-1
sp|P39689|CDN1A_MOUSE,3940,Cdkn1a,CDN1A_MOUSE Cyclin-dependent kinase inhibitor 1
sp|Q03963|E2AK2_MOUSE,3941,Eif2ak2,"E2AK2_MOUSE Interferon-induced, double-stranded RNA-activated protein kinase"
sp|Q8C547|HTR5B_MOUSE,3942,Heatr5b,HTR5B_MOUSE HEAT repeat-containing protein 5B
sp|Q9CRA4|MSMO1_MOUSE,3943,Msmo1,MSMO1_MOUSE Methylsterol monooxygenase 1
sp|O70492|SNX3_MOUSE,3944,Snx3,SNX3_MOUSE Sorting nexin-3
sp|O70493|SNX12_MOUSE,3945,Snx12,SNX12_MOUSE Sorting nexin-12
sp|Q8BH04|PCKGM_MOUSE,3946,Pck2,"PCKGM_MOUSE Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"
sp|Q9Z2V4|PCKGC_MOUSE,3947,Pck1,"PCKGC_MOUSE Phosphoenolpyruvate carboxykinase, cytosolic [GTP]"
sp|P56528|CD38_MOUSE,3948,Cd38,CD38_MOUSE ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
