Gene Symbol,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5
Pigb,10.6073,9.87484,9.9698,9.04811,9.12604,10.0254,9.28148,11.0846,10.4693,10.5132
Mccc2,10.7596,10.4766,10.2358,11.0274,11.4674,8.83904,8.74032,8.84223,9.54887,10.0628
Gle1,9.17826,9.41479,9.87513,9.09848,8.73606,11.0731,11.2745,10.6692,10.0309,10.6495
Smc1a,10.2352,10.4808,10.6488,9.48302,9.41292,10.0379,9.97241,10.2271,9.99574,9.50623
Nup107,9.98703,10.1637,9.92772,9.27578,9.12898,10.6751,10.3391,10.5756,10.0185,9.90848
Dnajc7,11.1561,10.0875,10.9056,9.35264,9.75275,10.2074,9.43801,8.84436,10.8747,9.38094
Nosip,9.79674,10.2327,10.0708,9.56459,9.28366,10.7246,10.1374,10.5131,9.75275,9.92358
Arfip2,11.2384,10.7662,10.0939,10.9757,10.9155,9.24153,8.85754,8.78765,9.61794,9.5056
Pycrl,10.3944,10.1343,10.2382,11.6487,11.6593,8.50845,8.63189,8.88865,9.97484,9.9213
Golim4,10.3296,8.89086,10.0487,11.2987,11.1247,9.63105,9.85132,8.77654,10.3567,9.69183
Bag3,9.93484,9.94355,10.1408,9.62474,10.5212,10.3533,10.0218,9.19903,10.544,9.71683
Pdia4,11.0563,9.83708,9.88663,11.1339,11.3723,9.60816,8.49664,8.33419,10.0593,10.2155
Pdia3,10.7343,10.6822,10.4222,10.3036,10.5916,9.38617,9.24812,9.02144,9.91873,9.6916
Rbm15,10.3407,10.5088,10.2788,9.55305,9.69356,10.2255,9.73891,9.99857,10.1191,9.54304
Rbm15b,9.55045,9.90783,10.2648,9.92493,9.98959,9.94958,10.4251,10.7173,9.68519,9.58514
Galk2,10.1573,10.6827,10.9794,10.5556,10.9356,8.93505,8.84938,9.83232,9.44361,9.62906
Dync1h1,10.0482,9.59855,9.76228,9.93847,9.88783,10.226,10.1917,9.94819,10.1397,10.259
Fam177a1,7.47193,7.73834,9.94835,9.01327,8.29048,10.3999,11.4428,11.936,10.7084,13.0506
Polr3e,10.0031,9.8041,9.74137,8.66479,8.80558,11.1766,10.8335,10.6828,10.4498,9.83834
Tgfbi,9.37389,8.29492,10.0832,9.75497,10.5304,9.93087,11.6227,11.0689,9.91121,9.42889
Sorl1,9.30436,9.62358,9.35199,9.85381,9.57629,10.0682,10.2864,10.3692,10.2438,11.3224
Uba1,10.2922,10.0139,10.2224,9.99735,10.1326,9.9486,10.0922,10.1811,9.66148,9.45813
Noc2l,10.1398,9.83321,10.4794,9.00494,8.68534,10.8448,10.5005,10.9556,9.95077,9.60554
Noc2l,11.8974,11.5433,10.9721,7.83152,7.93038,11.4616,11.1483,11.1901,8.00867,8.0166
Hsd17b4,10.5179,10.4523,10.4017,9.63048,10.1029,9.57037,9.82249,9.78662,9.8039,9.91136
Zc3h11a,9.82033,10.2677,10.2843,9.51843,9.51838,10.4613,9.87306,10.7753,9.8636,9.61769
Edc3,10.2415,11.8129,10.6682,10.0497,9.94813,10.5783,8.67969,9.90855,9.52132,8.59166
Adh5,10.502,10.7865,10.4455,10.5804,10.1814,9.89281,8.99407,9.314,9.57049,9.73264
Mrps30,9.47053,11.36,9.95127,9.4698,9.15433,9.12029,9.90841,11.3004,9.3734,10.8916
Etfa,10.0957,10.4361,9.87853,10.8317,10.4417,9.23072,9.22839,9.55883,9.652,10.6463
Hspd1,10.4057,10.5288,10.4563,9.75295,9.0739,9.9879,9.93442,10.1609,10.0295,9.66966
Mical1,9.94326,10.3733,10.7599,9.60671,10.6166,9.52143,10.0845,10.0498,9.62866,9.41595
Mical3,9.32123,9.58472,9.149,9.88299,10.2684,9.94295,10.876,9.8894,9.96506,11.1203
Fam98c,9.27045,9.65647,9.51564,9.78234,10.0639,10.0319,10.3692,10.5429,9.66286,11.1043
Mthfd1l,8.68904,9.05807,9.70942,8.87675,8.89535,10.9699,11.1416,11.955,10.7219,9.98294
Bckdhb,11.3578,10.8533,10.5912,10.1735,9.83003,8.99944,10.1595,8.51711,9.59188,9.92621
Psmd1,10.0435,9.68853,10.4605,9.50339,9.67926,9.9769,10.1917,10.5833,10.1069,9.766
Ewsr1,9.48944,11.4155,10.0627,7.21626,7.27869,11.8953,11.2766,12.1919,9.12316,10.0506
C3,9.6642,8.91771,10.3737,10.3776,9.20693,10.8079,12.5646,8.90633,9.80741,9.37366
Fuk,9.79281,9.30648,9.09145,10.8316,10.479,10.1872,9.85888,9.80962,9.81842,10.8245
Pklr,9.94966,9.22699,9.60247,10.262,9.35648,10.0791,10.6443,10.1713,9.97588,10.7317
Pkm,9.66242,9.56731,9.79695,9.31516,9.49076,10.287,10.6581,11.0031,10.2798,9.9394
Pkm,9.93729,9.89118,8.23468,12.546,13.2989,8.89864,9.35302,7.82558,9.45965,10.5551
Fbxw9,8.97832,8.95872,8.73033,9.44244,9.78581,10.2365,10.2477,12.056,11.3049,10.2593
Eea1,10.1272,9.76491,9.63172,11.3127,10.9102,9.49388,8.94747,8.91788,10.2226,10.6715
Itih1,9.01912,9.60526,9.21991,8.45717,9.36435,10.6274,12.2147,10.8721,10.3171,10.303
Itga7,9.35227,8.78302,8.25502,15.424,18.1818,5.83395,7.21212,5.85883,9.49446,11.6046
Fam84b,9.80449,10.1909,10.2127,9.35373,10.4876,9.611,9.56628,9.83859,10.6766,10.2581
Adh1,10.3275,15.62,10.9789,17.9348,14.3861,5.85273,4.23235,4.49505,6.33795,9.83463
Apip,9.64485,9.10202,10.3321,9.42361,10.0425,9.70636,10.9047,10.6433,10.3327,9.86798
Prpf8,10.2511,10.3502,10.4611,9.32389,9.21639,10.1578,10.3007,10.5366,9.83562,9.56654
Fbxw11,10.0724,10.1981,9.68472,9.76755,8.8816,10.878,10.0216,10.3304,9.7799,10.3859
Eno1,8.83405,8.85526,8.60797,8.38876,8.3046,11.3239,11.4465,12.1356,11.0763,11.0271
Eno3,10.5642,10.7035,10.4863,12.5354,11.03,7.53354,6.42721,7.76083,9.77479,13.1842
Heatr1,10.2862,10.1421,10.5772,8.59871,8.69431,10.7913,10.7095,10.8485,10.3346,9.01757
Cbr3,9.44406,9.9957,8.64036,15.4246,15.0333,7.06981,5.72844,6.7249,9.51544,12.4234
Cbr1,9.83497,10.5399,9.20473,13.0068,12.5171,8.16929,7.29696,8.11185,9.47694,11.8415
Mut,9.9235,10.2932,9.86395,11.1288,10.3046,9.47141,9.40986,9.77747,9.53367,10.2936
Dcp1a,10.0653,10.1986,10.8089,9.92971,9.75499,10.4898,9.75817,9.70093,9.8568,9.43674
Hbb-b1,10.4286,17.6365,9.37579,8.23721,9.71133,9.48459,8.97595,9.39856,7.72834,9.02314
Hbbt1,6.93113,28.2939,6.80102,10.5639,10.8211,11.2215,6.47402,8.202,4.85611,5.8353
Hbb-b2,12.0734,12.6911,10.6642,7.43894,9.22821,8.57453,10.0872,10.2292,8.84411,10.1691
Hbb-y,11.2444,14.5085,10.4417,8.48768,9.76727,9.88531,9.24898,9.47339,7.42907,9.51365
Lad1,8.626,8.79566,8.13298,8.94401,7.91356,12.0522,11.9098,11.3736,11.0934,11.1588
Myo7b,9.56099,9.92349,9.9907,9.4935,9.17694,10.2613,10.2565,10.8135,10.2722,10.2508
Zc3h13,9.66525,10.336,10.4416,9.09373,9.69297,10.371,9.54801,10.7171,9.67929,10.455
Upp1,11.4149,11.0311,10.7463,11.7302,12.6239,8.85816,7.06381,7.99939,9.52617,9.00608
##Neb,9.57724,6.06738,3.96016,4.17631,4.01551,23.0988,15.2342,8.85354,8.03694,16.9799
Lig3,9.96255,10.329,10.9638,8.93465,9.52723,9.90349,10.4759,10.2794,10.1249,9.4991
Umps,10.5866,9.96129,10.9267,9.57448,9.69562,10.4533,10.3505,9.76239,9.63041,9.05876
Acadm,9.27221,9.45797,9.41126,11.1248,10.7552,9.30036,9.48165,9.85994,9.90096,11.4356
Opa3,9.85206,9.53411,9.65186,10.8222,9.24438,9.19156,9.83343,10.2075,10.9861,10.6769
Pithd1,9.33063,9.73838,9.19213,11.0366,10.0909,9.87496,9.73789,10.3909,9.60458,11.003
Acox3,9.82708,10.1207,9.94643,10.5904,11.0203,9.48726,9.19495,9.77846,9.7423,10.2922
Wdr47,9.27177,9.37337,8.79254,9.52989,10.4224,10.6169,10.5313,10.8091,10.3106,10.3421
Aldh5a1,10.7449,11.1386,11.8884,11.0902,11.3241,8.17043,8.18219,8.91205,9.11331,9.43587
Slc25a5,9.43854,10.2752,9.83917,10.5294,10.0967,10.1426,9.53242,9.83386,9.98003,10.3319
Slc25a4,9.84682,9.92915,9.75564,10.4004,10.6279,9.634,9.72562,9.78502,9.96793,10.3275
Fut4,10.3033,12.2604,9.14059,11.6437,12.1925,8.29154,7.05073,8.93081,9.3789,10.8075
Stxbp3,10.0018,10.1966,9.68116,9.94218,10.0313,9.96456,9.67599,10.1652,9.86777,10.4733
Ndufv1,9.8933,10.0181,10.1735,11.1501,10.6415,9.04363,9.06093,9.51897,9.8562,10.6437
Anxa1,5.75397,6.26095,5.93512,5.89669,6.14771,14.8198,16.5792,14.7352,11.6917,12.1796
Nexn,8.28726,9.3099,8.99333,10.459,10.2996,9.88036,10.8354,10.3318,10.5484,11.055
Arid1a,9.52303,9.5916,10.0209,8.8008,9.15153,11.1036,11.14,11.2368,10.0989,9.3328
Arid1b,9.06961,9.89159,9.85741,10.3597,9.52816,10.6935,10.1978,10.3881,9.92374,10.0904
Ccar2,9.83394,10.3173,10.5792,9.49497,9.30647,10.1143,10.0854,11.0221,9.86514,9.38114
Fto,10.0544,10.9008,10.7015,9.38605,9.35514,10.3755,10.1439,10.7532,9.48505,8.84443
Smg5,9.90803,9.57493,10.11,9.63281,9.33363,10.6371,10.4613,10.5374,9.75542,10.0493
Gpa33,9.60806,10.3749,10.2667,10.0462,8.99023,9.73015,9.92928,10.7672,9.57648,10.7108
Colgalt1,9.24591,8.28881,8.48545,7.34224,8.31187,12.0079,13.9868,11.2842,10.5178,10.529
Cdh13,8.83892,8.81485,8.86309,13.0711,14.5483,7.93364,8.33744,8.05301,9.42774,12.1119
Usp4,9.61118,9.73982,10.0409,9.70157,9.91584,10.1245,10.1031,10.3611,10.3828,10.0191
Usp15,10.5372,9.96026,10.1687,10.1672,10.0749,9.78204,9.58194,9.65554,10.4355,9.63675
Pabpc1,10.3015,10.291,10.3394,9.39061,9.11071,10.555,10.0481,10.216,10.3498,9.39775
Pabpc4,9.89406,9.49095,9.70995,8.8099,8.41703,11.4517,11.2641,11.0646,10.3476,9.55021
Ube4b,10.0008,9.45365,10.5819,9.04853,9.42615,10.3439,10.4941,10.543,10.6041,9.50393
Gnb1,9.64716,10.4816,9.92096,9.91752,10.5394,10.1315,9.76462,9.66671,9.97909,9.95146
Gnb2,9.5618,10.1309,10.622,10.3973,10.8974,9.40194,10.0569,9.36794,9.85643,9.70744
Gnb4,10.6057,10.7486,10.0682,9.8378,9.66207,10.5936,9.14872,9.59821,9.90543,9.8317
Tpk1,10.4633,10.664,10.1518,11.3955,10.8047,10.3746,9.67889,8.51284,8.76808,9.18644
Vps35,10.5741,9.8476,10.245,9.96923,10.2135,9.81967,9.78039,9.55421,10.0613,9.93506
Fscn1,9.45804,8.90616,10.6398,9.46102,9.77223,10.6098,10.7612,10.8432,9.93438,9.61414
Creld2,12.0012,9.58771,9.03798,10.3044,12.0044,9.61407,8.63093,8.30212,10.4595,10.0576
Itgb4,7.7401,7.81005,7.85149,7.80964,7.57555,12.8137,13.406,12.6037,11.1215,11.2682
Itgb4,8.20052,7.98323,7.83879,7.62544,7.72695,11.78,13.0753,12.7974,12.3085,10.6639
Zmynd11,9.96526,9.39693,11.2426,10.0371,10.0635,9.94786,10.2454,9.46827,10.1417,9.49129
Gigyf2,10.8145,10.0794,10.8716,10.5148,10.1384,9.74864,9.16227,8.85723,10.4866,9.32651
Ddx41,10.3965,10.1464,10.429,9.55337,9.23434,9.84904,10.0372,10.584,10.1643,9.60584
Prkaa2,9.98803,9.39012,8.1818,13.2501,11.8587,8.87388,7.70034,8.79751,10.1392,11.8203
Prkaa1,9.29065,9.53442,9.35443,9.4473,9.43163,11.0962,10.8106,10.8647,9.96813,10.202
Sbf2,8.90414,9.83295,9.30852,10.4702,10.36,9.80354,10.0923,10.5182,9.76884,10.9413
Brat1,10.098,9.66781,10.6722,9.53698,9.76589,10.6039,10.3639,10.0612,10.2078,9.02229
Casp2,9.30399,11.4762,11.2051,8.86055,9.65158,10.4088,9.99362,10.8377,9.81718,8.4453
Usf1,10.3298,10.2831,10.8631,9.4995,9.86051,9.98513,10.0726,10.0896,9.94516,9.07153
Fbn1,8.06929,8.68164,8.39927,11.4911,11.9254,9.09491,9.08664,9.56254,11.0032,12.686
Fbn2,9.16794,9.72159,10.8346,11.2885,11.4481,8.11627,8.54148,9.5464,9.66619,11.669
Kdm2a,10.2987,9.81641,10.8029,9.77151,10.2133,9.92779,9.80942,9.89981,9.83082,9.62936
Exoc8,9.99769,9.51892,9.66432,9.52074,9.881,10.2695,10.5835,10.2292,10.1388,10.1963
Dffa,9.65841,9.96912,10.2215,9.7551,9.58339,9.85026,9.98409,10.3517,10.7216,9.90481
Dffa,9.17908,7.79848,9.29637,9.67586,9.8544,11.0943,10.8337,9.3078,10.5783,12.3816
Glg1,9.43003,9.61834,10.0255,9.70246,9.93764,10.0719,10.0562,10.6316,10.3474,10.1788
Mrc1,9.55808,8.83701,8.78683,13.3012,13.2239,8.63918,7.97834,8.24678,9.72128,11.7074
Acot11,10.4844,10.721,10.248,10.4442,9.83587,9.51668,9.4092,9.66375,9.6038,10.0731
Phf11,13.1776,13.8628,14.394,8.28904,11.917,7.8205,8.86572,7.64765,7.73744,6.28829
Ctr9,10.4097,9.79101,10.603,9.08341,9.22232,10.2673,10.3262,10.6852,10.2885,9.32336
Itga6,8.87944,9.40193,9.15835,8.56909,8.16432,11.6666,11.9222,11.8763,10.168,10.1938
Birc6,9.84751,9.7787,10.1056,9.81555,9.77026,10.2468,10.0158,10.1789,10.5352,9.70569
Casz1,11.2071,11.275,12.4257,9.75284,9.99695,9.33095,8.61939,9.24978,9.7364,8.40586
Sqle,11.071,8.48055,9.57263,10.1243,10.046,11.1915,9.99902,9.13809,10.6892,9.68776
Vars,10.6291,10.8103,10.651,9.89312,9.85822,10.0356,9.51401,9.84423,9.56048,9.20399
Trappc8,9.77596,9.95764,9.74909,10.4822,9.86415,10.3073,9.60414,9.97751,9.75638,10.5256
Rbm17,9.85815,10.5308,10.4375,9.50839,9.46286,9.99155,10.0404,10.4615,10.2111,9.49763
Prc1,10.8829,10.7278,11.4465,9.44009,9.46565,10.581,9.107,9.15512,10.9133,8.28071
Vwa5a,10.3237,10.4155,10.7623,10.0631,10.2979,9.54232,9.22572,9.86164,9.68963,9.81817
Lrrc16a,9.9706,10.2006,10.7634,9.5123,9.4205,10.0116,10.27,10.8136,9.68022,9.35712
Gba2,9.44278,9.40289,9.91461,9.79914,10.4359,10.6573,10.0924,10.3145,9.97711,9.96341
Vat1,9.0623,8.20073,8.21343,10.646,10.7358,10.3936,10.7773,10.4871,10.2294,11.2543
Paics,8.02275,8.74956,9.60572,7.70179,7.99372,11.484,12.6203,13.3313,10.7059,9.78503
Egfr,7.20431,7.20681,7.54874,8.08893,7.32967,12.3911,14.0043,12.6713,11.2707,12.2842
Erbb2,8.34186,8.59669,8.81788,8.89751,8.33202,10.9404,11.9195,12.1923,10.5296,11.4323
Mlk4,8.29109,10.0018,9.81779,9.98453,9.56403,10.7511,11.0757,9.99712,11.2855,9.23147
Hgs,9.67997,9.29988,10.553,9.42563,9.22789,10.6504,10.8346,9.7002,10.2943,10.3342
Ambra1,9.27264,9.784,10.6141,11.8632,9.3441,9.81944,8.26776,9.24889,10.9608,10.825
Sccpdh,8.07968,8.59443,8.57444,8.42744,8.46238,11.6579,12.1545,12.4566,10.5382,11.0545
Ddx27,10.2745,9.68039,10.4666,8.98518,8.94414,10.5681,10.6483,10.2623,10.618,9.55241
Trim30a,10.4762,10.7698,11.4319,9.897,11.6254,9.87909,9.04264,8.2664,9.70592,8.90561
Ext2,11.3295,9.46999,10.4603,10.3939,10.1356,9.97193,9.62539,9.72946,10.024,8.85985
Creld1,9.19389,7.96107,10.2337,8.89325,10.0015,10.3954,11.7707,10.7806,10.2402,10.5297
Ston1,7.3602,8.93548,8.25179,7.27676,7.81909,11.2668,13.1344,14.5964,10.1662,11.1928
Psmc2,9.91142,9.6734,10.4291,9.80798,9.98613,10.1068,10.0731,10.1559,10.4839,9.37223
Ppil4,9.86714,9.70317,10.7677,9.94879,10.3921,9.88658,10.023,9.25027,10.5406,9.62075
Nup214,9.76413,9.68834,10.2284,9.06933,9.06089,10.2264,10.6291,11.0812,10.2458,10.0064
Pi4ka,9.63626,9.19454,9.55058,10.7978,10.8772,9.80916,9.39078,9.63106,10.2328,10.8799
Wdr11,10.5804,10.2444,10.0926,9.99099,9.81269,10.0512,9.65156,10.0479,9.72001,9.80821
Glul,10.2763,11.4027,11.6683,10.9412,10.9638,8.05883,7.84077,9.01453,9.76995,10.0635
Col6a3,9.93789,9.28862,9.17627,11.8342,12.7544,8.33891,9.15399,9.00454,9.39242,11.1187
Ap2a1,9.08734,9.78361,10.0932,10.2523,10.2388,9.88851,9.89018,10.4823,10.1361,10.1476
Ap2a2,9.78028,9.63229,9.83405,10.5635,10.329,9.86493,9.8179,9.5279,10.0817,10.5685
Aadac,10.3781,8.48466,6.52784,17.0721,14.3725,7.52006,5.98441,6.00745,9.21127,14.4416
Rpa2,10.6531,10.9517,11.0983,9.24335,10.3346,10.094,9.53447,9.50307,9.97668,8.61063
Tdrd7,10.2022,10.7375,10.2963,9.50467,10.047,10.0193,9.95015,10.0403,9.67991,9.52269
Nelfcd,10.0769,9.93146,10.4697,9.01032,9.36476,10.2668,10.3694,10.4807,10.4759,9.554
Atp1b3,9.51568,8.48364,9.98434,10.7637,10.4331,10.103,9.97799,9.68518,10.2087,10.8447
Tbc1d10a,9.90747,9.74788,9.78425,8.88628,9.77258,10.1952,10.7056,10.6468,10.3735,9.98037
Tbc1d10b,9.47173,9.64797,8.76954,8.5255,9.19254,10.7605,11.0666,11.6247,10.3667,10.5743
Hnrnpm,10.4396,10.714,10.3819,8.90032,8.66998,10.2588,10.3886,10.7634,9.9397,9.5437
Plvap,9.6874,9.37716,9.62033,10.6822,10.6572,9.76132,9.30417,9.54167,10.2924,11.0762
Duox2,11.2614,11.6004,10.3896,10.5832,9.70532,9.17346,8.36147,9.02996,9.978,9.91727
Dnmt1,10.6969,10.5625,11.4484,9.29564,9.59563,10.351,9.56936,9.46959,10.541,8.46993
Tmem59,10.4468,9.615,10.5458,10.4426,10.3152,9.84957,9.48038,9.81432,9.56838,9.92187
Rps3a,10.4819,9.97395,10.234,9.53525,9.3974,10.35,10.1225,9.7893,10.4815,9.63428
Arfgef2,10.5248,9.85063,10.0451,10.5167,10.5281,9.74861,9.42967,9.52623,9.76006,10.0701
Arfgef1,10.2443,9.56671,10.1017,9.54562,9.73738,10.2512,10.0147,10.1108,10.3332,10.0943
Gp2,13.9631,9.05269,23.5404,7.71557,6.17615,8.97208,9.31829,7.75334,5.98764,7.52074
Trex1,11.4544,11.6263,12.7746,10.8726,11.7402,8.48042,7.98068,8.65748,8.74377,7.66952
Mipep,9.21842,9.23315,9.38494,9.81195,9.2668,10.4437,10.6309,11.0593,10.3797,10.5712
Cryzl1,9.05765,9.57924,9.7559,10.028,9.7492,10.9188,11.0691,10.0417,8.90311,10.8973
Pdlim5,8.97905,9.10153,9.79338,9.28535,9.37435,10.6929,10.9818,10.9634,10.3901,10.4382
Pdlim5,7.21511,10.3502,10.0651,11.0456,10.3141,8.40976,10.3532,10.8757,8.90912,12.462
Cct3,9.67136,10.0342,10.3056,9.63926,9.35216,10.2951,10.2394,10.5293,10.3102,9.62359
Nipbl,9.73625,9.9805,10.4021,9.3304,9.28264,10.0978,10.3471,10.7075,9.96702,10.1487
Nadk,9.90361,10.0688,10.3396,10.8002,9.70445,9.45568,9.88194,9.67864,9.45182,10.7152
Sbf1,9.81198,9.67511,9.55424,10.135,10.3502,10.0976,9.81829,10.0931,10.2947,10.1698
Fcgbp,10.2561,8.91855,8.45131,17.3067,15.5113,6.36238,6.16926,6.22432,8.31475,12.4853
9530053A07Rik,9.89966,8.87867,8.50243,16.8503,14.7141,7.40223,6.62959,6.68908,8.42523,12.0087
Huwe1,9.48727,9.65992,9.90864,9.17913,9.37282,10.3982,10.589,10.9052,10.4725,10.0274
Pelp1,9.54392,9.92669,9.9427,8.59257,8.87049,10.6557,11.0768,11.5984,10.5339,9.25878
Fam213b,9.97506,10.7881,9.87611,10.5488,10.7263,10.4618,9.1934,9.63491,9.06909,9.72633
Ipo4,10.0827,9.87392,10.2777,8.60437,8.97297,10.981,10.8408,10.4913,10.481,9.39412
Rps3,10.689,10.0054,9.94854,9.4315,9.26417,10.2602,10.0959,10.3694,10.413,9.52304
Actr1a,11.1294,10.9796,10.1546,9.96428,10.5711,10.3162,9.67246,9.00306,9.26544,8.94385
Actr1b,11.0919,12.6094,10.7806,11.2429,11.4331,9.09593,7.46268,9.39943,8.72013,8.16388
Plxna2,9.35679,9.49795,10.1664,10.1285,9.61631,9.78903,10.0181,9.81344,10.4595,11.1539
Cbl,9.7535,9.53931,9.74104,9.57035,10.0035,10.6255,10.2692,10.1294,10.218,10.1501
,9.96828,11.2012,8.59871,13.3753,13.6104,8.5472,6.55718,7.61595,9.02994,11.4958
Dhrs7,10.6178,9.92896,10.185,10.3108,10.9533,9.33432,9.10436,9.56454,9.69011,10.3107
Tbc1d2,9.00683,8.39762,9.10659,10.3466,10.0973,10.0089,10.6272,10.4448,11.1074,10.8567
Lmbrd2,10.9336,9.96804,10.1292,10.844,10.481,10.2395,9.49921,7.61841,9.87715,10.4098
Ect2,10.5997,10.4383,11.3476,8.3489,8.72219,11.3517,10.1547,9.6754,11.2328,8.12859
Eri1,10.7583,11.3053,10.0552,9.24821,9.04278,10.5856,9.52303,9.95241,9.98027,9.54884
Cask,9.71199,9.88144,9.75647,9.41729,9.236,10.4438,10.5191,10.6675,9.93943,10.427
Cask,8.97539,10.5175,10.1005,12.0695,9.74672,9.93296,11.3186,8.14363,7.1422,12.053
Acot2,10.0111,10.7843,10.1893,11.5496,11.1923,8.70653,8.95166,9.12875,9.15595,10.3305
Acot1,11.3358,13.5305,11.5531,10.4035,10.2589,8.96802,8.44879,9.31733,8.13363,8.05043
Vamp3,9.90679,9.2695,10.3562,10.1345,10.2031,9.13818,10.1369,9.90868,10.8907,10.0555
Vamp2,8.91904,9.4212,10.6096,11.6934,11.0557,9.15088,8.446,9.26926,9.85553,11.5795
Jmjd6,11.4515,10.8497,9.93878,8.7998,9.37275,10.7415,9.94741,10.5247,10.0732,8.30072
Ltf,11.6602,11.0874,10.8956,7.64686,8.20962,11.0734,10.332,10.7368,10.9746,7.38349
Exosc5,9.89576,9.59788,9.92011,9.9898,9.55331,10.3518,9.80333,10.7622,10.3412,9.78454
Fv1,9.2928,9.85081,9.63018,9.36883,9.73367,10.3014,10.4054,10.2929,9.95185,11.1721
Sec16a,9.8955,10.1681,9.35884,9.98208,9.97883,9.52763,10.0687,10.5022,10.4602,10.0578
Gorasp2,10.5382,10.3926,10.5511,11.1239,10.7053,10.3371,8.5873,8.17569,10.044,9.54475
Ahsa1,11.0055,10.7693,11.021,9.30749,9.63431,9.80713,9.68204,9.74455,9.98362,9.04509
Tufm,10.6582,10.4462,10.2741,10.3032,9.57115,9.77021,9.62698,9.52108,9.69051,10.1384
Itih4,8.60858,8.47658,8.00514,8.68329,9.08426,12.621,15.2887,9.9477,9.56651,9.71826
Fcer1g,8.23358,6.79642,7.77575,7.58063,8.81041,11.6503,14.46,11.3471,12.6733,10.6724
Adsl,10.703,10.324,10.8325,9.77556,10.0102,10.1096,9.91713,9.16661,9.86592,9.29552
Akap12,9.74953,9.37536,10.3742,12.2319,12.2969,7.94135,8.2057,8.33283,9.97726,11.5149
Piezo1,8.38523,8.56783,8.24255,6.7233,7.84697,12.164,14.0671,12.5019,10.8135,10.6876
Scp2,10.1994,10.2124,11.2378,11.1143,10.8455,8.56673,9.02118,9.53932,9.51013,9.75319
Snd1,10.5299,10.4189,9.9382,9.5228,9.3502,10.1469,9.9938,10.2571,9.97879,9.8634
C1galt1,11.6528,9.45395,9.95201,11.2632,10.9202,9.70455,8.38093,8.82576,9.63426,10.2124
Col18a1,9.34105,9.53739,9.80113,8.81772,9.82768,9.70978,11.601,11.6677,10.0308,9.66575
Insr,9.39359,9.96678,9.82947,9.57777,9.63958,9.63209,10.3547,11.0141,9.87896,10.713
Igf1r,9.95559,8.52465,9.57106,8.76411,9.60347,10.8077,10.8895,10.9903,10.8835,10.0101
Ttll12,10.4657,9.97163,10.4303,9.39929,9.78592,10.4596,10.4978,9.8504,9.98487,9.15452
Dars,10.3602,10.1858,10.6492,10.2895,10.3448,9.72692,9.84619,9.67684,9.60638,9.31418
Lamb2,9.17434,9.17245,9.32442,12.3355,13.8272,7.72812,8.71885,8.4606,9.79794,11.4606
Ccz1,10.7055,9.90553,10.5377,10.6132,10.7395,9.58464,8.81561,8.70469,10.8455,9.54818
Cox10,10.2957,10.3827,10.8555,10.5756,10.4136,10.0779,8.85433,9.1536,9.63784,9.75329
Pitpnb,9.87136,10.1301,9.72126,9.58019,9.05599,10.0216,10.1272,10.8118,9.9488,10.7317
Pitpna,9.99826,9.46281,9.41483,9.69551,9.42,10.8369,10.1177,10.0242,10.467,10.5628
Nutf2,11.5736,12.8934,11.3533,12.3313,12.5013,9.67429,7.77886,7.92317,7.45749,6.51324
Smg6,9.69972,9.97378,10.3475,9.78276,9.6269,10.3124,9.86672,10.2077,10.1889,9.99364
Prdx1,10.2717,10.0857,10.4872,10.1911,9.84083,9.9833,10.2135,9.78635,9.55221,9.58812
Prdx4,9.91191,10.5405,9.92246,10.0745,10.0246,9.58554,9.97222,9.75603,9.9234,10.2888
Aph1a,10.8744,10.2772,9.72172,9.92105,10.3002,10.0293,9.2576,9.57049,9.77036,10.2777
Cux1,9.08657,9.31946,9.40134,9.94294,9.99615,10.1535,10.3511,10.9246,10.2751,10.5493
Tmem87a,9.65155,10.6607,9.99645,9.53284,9.33159,10.1182,9.66334,10.7278,10.0105,10.307
Usp48,9.5848,10.1286,10.5308,9.06694,9.99916,9.59964,10.2617,10.8898,10.6519,9.28667
Med26,10.1833,9.55705,11.2455,10.2034,9.60726,9.33489,9.63318,9.25211,10.7715,10.2118
Ifih1,10.8969,13.3291,11.836,9.73057,10.7697,9.23943,8.21669,9.40051,8.49809,8.08305
Myh10,8.73225,8.84751,8.97019,8.99655,9.07204,10.7355,11.7559,11.606,10.2966,10.9875
Myh9,9.07643,8.86486,9.25566,9.03008,8.8919,11.0896,11.6261,11.2153,10.5049,10.4452
Myh14,9.68501,9.46143,9.32879,10.7212,10.2618,9.97958,10.0054,9.64453,10.3008,10.6115
Myh11,8.86009,9.68355,8.20366,14.9475,16.3194,6.44528,7.13004,6.2502,10.2134,11.9468
Myh11,8.65011,9.52084,7.87286,15.6477,16.582,5.91427,6.45638,5.85844,11.1751,12.3222
Myh6,8.87106,6.02284,5.8369,6.03246,17.9811,16.2023,12.225,8.86593,8.84797,9.11436
Myh1,8.99868,5.49458,5.21306,5.47031,21.2732,17.2293,11.7985,7.09331,8.65764,8.77145
Myh7,8.91351,5.47357,5.28311,5.21805,18.531,17.4616,12.5919,8.79596,8.55966,9.17169
Pc,9.81071,10.6832,9.51854,13.1099,13.3843,8.1645,7.12413,7.53127,9.07654,11.597
Gsr,9.8701,10.8477,10.6645,9.22792,9.58748,10.1036,9.59317,10.8248,9.64037,9.64038
