Gene Symbol,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5
Irf2bp2,10.428,10.6849,11.3205,9.2339,9.83317,9.86506,9.55073,9.80215,10.1865,9.09506
Irf2bpl,9.06102,8.35359,8.36218,8.33111,9.05577,11.3045,12.4263,11.6941,10.6726,10.7387
Bcr,10.0154,9.63326,10.7152,10.7651,9.73719,10.1835,9.65564,9.99167,9.24532,10.0577
Abr,9.51352,9.26775,9.73316,10.8164,10.0422,9.56387,9.94817,10.339,9.44984,11.3261
Vil1,9.78124,9.59247,9.52467,9.91406,9.37707,10.3008,10.4211,10.4813,10.272,10.3354
Vil1,9.19917,9.79665,10.3647,10.0435,9.55455,10.5586,9.42735,10.3564,9.71302,10.9861
Rab3gap1,8.79071,8.85336,8.83547,9.55779,9.43998,11.1905,11.2788,10.9914,10.4583,10.6037
Idh3b,9.74214,10.4653,10.4783,10.2804,9.99309,9.61788,9.70585,10.093,9.57223,10.0518
Ints1,9.85551,10.0168,10.6683,9.40709,9.60166,9.81235,10.5034,10.5721,9.84448,9.71832
Fmnl2,8.69569,8.47213,9.69709,8.22657,9.09464,11.0188,12.3321,11.944,10.5145,10.0045
Fmnl3,8.65376,7.98846,9.11685,8.45303,9.67374,11.3887,12.5293,10.6087,11.3132,10.2743
Fmnl1,10.2189,9.01716,10.482,11.2144,11.2037,9.83314,8.70846,8.65815,10.1549,10.5092
Ankrd50,9.56739,8.6775,10.6776,9.94222,9.70009,10.5437,10.5182,9.90072,10.6835,9.78899
Cse1l,10.6143,10.1887,10.7486,9.45586,9.41877,10.2793,10.0144,10.1211,10.0457,9.11342
Pura,10.0873,10.1418,9.69814,9.75891,9.42188,10.1992,9.54203,10.1694,10.0131,10.9683
Purb,9.71548,10.1372,9.67005,9.34671,8.87651,10.5482,10.5289,10.6611,10.1222,10.3937
Nos2,12.9902,14.0974,12.9045,8.87193,9.42999,9.31386,6.9991,8.57096,9.79466,7.02736
Nudt4,9.26993,10.5012,9.38346,11.0636,10.4284,9.25827,9.70493,10.0816,9.71013,10.5984
Nudt3,8.68751,9.51332,10.321,8.51756,10.1436,9.45457,10.4784,10.8604,11.407,10.6166
Hdlbp,11.0681,9.60205,9.85623,10.5621,10.6485,9.50443,9.4163,9.06273,10.2921,9.98734
Lcp1,10.3134,9.00582,10.6711,10.5637,10.8361,10.0114,9.22281,9.17862,10.0442,10.1528
Pls1,9.40137,8.51969,8.82352,9.29054,8.98553,10.8043,11.1699,11.135,10.6812,11.1888
Pls3,7.47978,6.55453,7.47699,6.76187,7.18619,12.7952,15.6076,13.7285,11.4325,10.977
Agk,9.37751,9.50995,9.65557,9.34418,9.24098,10.371,10.7138,11.0308,10.1872,10.5689
Ube3a,10.2319,9.73988,10.192,9.1965,9.45158,10.3558,10.3163,10.4012,10.2086,9.90624
Trim65,10.5624,10.6691,9.48289,10.601,10.4933,9.92417,9.52003,9.94791,9.56208,9.23722
Adk,9.18364,8.83901,8.59369,10.5421,9.85124,10.5053,11.0895,10.7138,9.61407,11.0676
Rabl6,10.1641,10.0056,10.0155,10.0963,9.58794,10.1042,9.81647,10.4909,9.66541,10.0536
Magi3,9.8262,10.3831,10.0627,10.2969,9.9735,9.94883,9.65542,9.829,10.1803,9.8441
Vdac3,8.82796,8.82477,10.1862,10.5691,9.97962,10.6408,10.4578,9.94246,9.78397,10.7873
Vdac1,8.6358,8.93122,9.84504,10.4514,9.7477,10.5091,10.8378,10.0376,10.0925,10.9119
Atp2c1,9.81454,8.52535,9.42183,10.3487,9.56998,10.3414,10.8756,10.2556,10.1732,10.6738
Atp2c2,9.48741,9.46876,9.56946,12.2243,10.6537,8.94913,8.35312,8.98314,10.3008,12.0101
Sin3a,10.1511,10.2321,10.8984,9.56358,9.53935,9.96716,10.0332,9.74579,10.107,9.76235
Sin3b,10.0178,10.0442,10.6427,9.19673,9.94231,10.0394,10.0001,10.6753,10.0273,9.41416
Trap1,10.0008,10.4201,10.172,9.43674,8.84803,10.523,10.2399,10.6728,9.82832,9.85824
Hsp90aa1,11.1086,10.6317,11.2984,9.77148,9.4917,9.67791,9.68736,9.3337,10.0094,8.98971
Hsp90ab1,10.8729,10.3001,10.9593,8.86843,8.95579,10.0231,10.499,10.1728,10.412,8.9366
Hsp90b1,10.7683,10.2353,9.95281,11.1391,11.0977,9.41279,8.41056,8.60196,10.164,10.2175
Hsp90aa1,10.8411,9.80375,11.3226,9.25511,7.81265,10.4194,10.5925,9.35793,10.7908,9.80408
Hsp90ab1,12.8239,10.3087,10.8439,8.92234,7.00858,10.3976,10.0448,9.45846,10.6351,9.55659
Trp53bp1,9.64602,9.93721,11.5266,8.92404,9.42828,9.67128,10.6094,10.8178,9.9224,9.51701
Mmaa,9.93119,9.33847,10.128,10.8763,10.2611,9.48334,9.4452,9.62274,10.2518,10.6618
Bcat2,11.1698,10.1827,10.498,10.6297,10.6599,9.21276,9.66572,9.52069,9.22508,9.23553
Scly,10.4954,11.1927,11.5528,11.7589,12.8236,7.56792,7.99933,8.64916,9.14574,8.81445
Scly,9.88371,9.61888,13.0415,17.6935,15.1259,6.08716,6.77395,5.92388,8.10781,7.74375
Sel1l,10.8417,9.89345,10.216,9.6195,11.1025,9.64505,9.16023,9.87144,10.1022,9.54794
Aldh4a1,10.3788,9.95148,9.81998,11.9025,12.0273,8.44093,8.00642,8.5441,9.68511,11.2433
,9.88852,10.5549,10.3848,9.71734,8.3753,11.3706,8.93511,10.0447,10.1729,10.5559
Rbbp6,10.0422,10.388,10.1712,9.11354,9.27168,10.441,10.399,10.3746,9.97095,9.82783
Rfc1,10.3628,10.2755,11.8785,9.69145,9.6245,9.86173,9.73154,9.65086,9.96162,8.96151
Tpr,10.0971,10.1507,10.4276,9.27708,9.20129,10.3649,10.1253,10.3141,10.2457,9.79615
Pag1,9.12065,8.8264,9.61968,10.1169,10.0351,9.4936,9.98364,10.4995,11.7564,10.5481
Entpd5,10.0582,9.59479,9.04203,13.7782,12.4092,8.07389,7.36443,7.51141,9.2769,12.891
Map2k6,10.0997,10.1733,9.95096,11.967,11.39,8.78313,7.98995,8.87537,9.52143,11.2491
Map2k3,9.80045,9.15354,9.67249,9.46856,9.46103,10.5353,10.6976,10.3434,10.5234,10.3443
Lias,9.59267,9.25479,9.99615,8.27835,8.95727,10.7043,10.7697,10.9349,11.8119,9.7
Wbp2,9.48432,9.11107,9.42667,9.87174,10.4475,10.5292,9.96001,9.92069,10.9058,10.343
Prkra,9.40906,10.0538,9.50652,9.40226,10.1027,9.96142,10.317,10.1807,10.0025,11.0641
Eps8,8.94276,9.14774,10.5419,9.34815,8.45053,10.7646,10.7203,11.1371,10.5453,10.4016
Map1b,8.26069,8.09455,8.2767,10.2875,11.0921,9.9918,11.3607,9.90224,11.0617,11.6721
Map1a,9.05675,8.97004,9.40284,9.94396,10.7549,9.98505,10.5248,10.2922,10.1943,10.8752
Xpc,11.5941,9.77475,13.5725,13.2482,8.70068,7.67936,9.4862,8.81548,8.04446,9.08427
Supt6h,10.0932,9.85619,10.8307,9.30851,9.6833,10.045,10.4063,10.0588,10.3602,9.35775
Nckap1,9.57539,9.60469,9.57966,9.37781,9.13967,10.6034,10.852,10.8073,10.0638,10.3963
Wdr70,10.0012,10.3804,10.0255,8.57115,9.03413,10.7794,10.9254,10.8504,9.68852,9.74387
Prkcd,9.58964,9.20874,9.60736,10.6341,10.0145,9.94433,9.64952,10.2892,9.97071,11.0919
Prkcb,9.62458,8.89097,8.9257,12.6085,12.3462,8.71596,8.02327,8.2617,10.4811,12.122
Prkca,9.3553,9.50443,8.56613,12.0536,11.1857,9.88574,8.43787,9.67097,9.95974,11.3806
Prkce,9.1081,10.1557,9.19606,10.9112,10.4048,9.87714,9.22052,9.54062,10.4964,11.0895
Prkch,10.5892,10.0492,10.5666,10.6082,11.0913,9.33585,9.22097,9.22712,9.40128,9.91026
Tagln,8.89823,9.49309,7.94123,16.1385,18.5549,5.76597,6.99747,5.50833,9.23274,11.4695
Clta,12.6035,11.7777,10.347,9.23994,10.1554,9.84069,8.7286,7.93022,10.4409,8.93605
Tbc1d8b,10.0209,9.66789,10.2494,10.6924,10.3845,9.50118,9.86585,9.47663,10.0591,10.0821
Tbc1d8,9.28292,10.5664,9.75647,11.3049,11.2233,8.46751,8.62859,10.2904,10.2628,10.2167
Dnajc1,10.5323,9.03444,9.83554,9.66747,10.0838,10.4691,10.0448,10.0387,10.2072,10.0866
Nxt2,10.72,10.3415,9.97752,10.2833,10.2728,9.71087,9.696,9.89032,9.37526,9.7324
Nxt1,11.5655,10.3233,10.7774,9.21274,9.99865,10.5407,9.51187,9.24476,10.1269,8.69818
Zwilch,10.3864,10.6606,10.4646,9.53029,9.7987,10.3692,9.45132,10.0427,10.6705,8.62564
Mtr,8.95445,10.3399,10.2484,9.35452,10.0228,9.69876,10.783,10.3981,10.4178,9.78235
Zmym2,9.92924,10.0091,10.9137,8.49907,9.40152,10.1743,11.0138,10.4797,10.2823,9.29726
Snx13,8.8897,8.26651,8.87353,10.3366,10.2231,10.0048,10.9322,10.2363,10.8914,11.3458
Ppp1r12c,9.36809,9.64604,8.99428,12.5626,13.9081,7.96872,8.17788,8.21648,9.94057,11.2172
Fam98b,10.33,10.4626,10.6403,9.7835,10.36,9.37181,9.76708,10.2108,10.3974,8.67651
Fam98a,10.1002,10.2084,10.4087,9.36592,10.2809,10.1174,10.1202,10.3533,9.93251,9.11235
Tuft1,8.15322,8.57756,8.4254,8.3224,7.89454,11.772,12.3045,12.384,11.2537,10.9127
Prodh,10.2664,11.2245,10.7698,9.26845,10.0067,9.28748,9.50615,9.76287,10.0836,9.82399
Atp1a1,10.2033,11.1721,10.1322,11.6719,10.4075,8.76945,8.54512,9.28133,9.36205,10.455
Atp12a,10.1325,12.5383,10.6811,16.185,14.3504,6.22684,4.8544,5.87855,7.6482,11.5046
Atp1a2,9.47349,11.6371,10.0228,11.7413,10.9455,8.50421,8.17593,9.305,9.40008,10.7946
Atp1a4,11.8788,13.2301,11.3251,14.7598,13.3038,5.97916,5.11107,4.82317,9.20234,10.3865
Man2a1,10.1304,9.72076,10.321,9.92562,10.206,9.85028,10.0887,9.89772,9.90703,9.95256
Man2a2,9.17957,8.06426,11.7636,10.0897,10.1872,9.0376,10.7901,10.4292,9.60357,10.8552
Myo18a,8.85696,8.42016,8.57391,9.05553,9.16259,11.2119,11.47,10.9181,11.0998,11.2311
Pfdn2,10.1736,9.55147,10.1496,10.4476,9.90216,10.0572,9.9779,9.81509,9.88136,10.044
Prpf6,10.1235,10.5224,10.4331,9.13911,9.42439,10.1986,10.1766,10.5553,10.0195,9.40748
Phb,10.4077,11.6042,10.2685,10.3279,9.79369,10.3116,8.76094,9.4051,9.89314,9.22725
Tha1,10.1628,11.1064,10.8388,12.3083,10.8489,8.36698,8.24896,8.68052,9.66065,9.77768
2210016F16Rik,10.9466,10.6676,10.2341,10.8523,10.3183,9.63301,8.94415,8.74524,9.63117,10.0275
Akap9,10.0488,10.2834,10.1192,10.5911,10.0653,9.80543,9.41307,9.74622,9.89752,10.03
Son,10.5285,10.1859,10.4309,9.36865,9.66125,9.84188,10.0916,9.84802,10.3018,9.74162
Syvn1,9.65363,9.75223,9.0542,9.6698,10.0641,11.8475,8.91786,10.0815,10.3939,10.5653
Kif5b,10.0577,9.83384,10.127,9.75615,9.58432,10.0523,10.3778,10.1379,10.052,10.021
Fkbp4,11.2525,10.6436,11.1547,10.0758,9.5684,9.97922,9.39594,9.02788,10.0093,8.89261
Setd3,10.2316,9.45445,9.74102,9.57327,9.57352,10.6475,10.3181,10.0162,10.7783,9.66609
Nemf,10.0828,9.62118,10.4345,9.46207,9.9849,10.164,10.2475,9.64466,10.5854,9.77299
Cltc,10.215,9.92874,9.72264,9.81739,9.83547,10.1876,9.93421,10.1408,10.1097,10.1086
Map4,8.90264,8.58865,8.86653,8.77363,9.2309,11.7057,11.5855,10.8701,10.8384,10.6379
Map4,12.4914,8.69104,10.5375,9.69372,9.62351,10.073,11.8337,7.41193,11.3539,8.29022
Copb2,10.7555,10.2772,9.73097,10.6234,10.0707,10.1074,9.18545,9.34793,9.73974,10.1617
Mrps35,9.51128,10.2453,9.6735,9.75829,9.54965,10.9493,10.1611,10.6593,9.74412,9.74821
Coq5,11.143,10.1973,10.8346,11.4206,11.2328,8.73407,8.77471,8.75062,9.5103,9.40199
Vps13c,9.61366,9.43279,8.93745,10.876,10.136,10.0449,10.0201,9.7319,9.92832,11.2789
Tprn,9.47211,9.42055,8.79855,9.77341,8.80842,10.7697,10.544,11.0802,10.2995,11.0334
Galnt12,11.0677,9.75391,9.06888,11.9619,10.5795,9.21369,8.56648,9.36798,9.26776,11.1522
Galnt4,9.9947,9.45276,9.11845,10.9348,10.1847,9.93466,9.39231,9.45436,10.4062,11.127
Galnt2,9.42565,9.05228,9.74805,10.2172,10.008,10.2093,10.6045,10.1835,10.2663,10.2851
Spats2l,10.6868,11.5903,11.1925,8.57535,9.7233,10.1828,9.58865,10.1723,9.60869,8.6794
Hoxb13,9.68493,11.4057,11.139,9.84502,10.117,9.53238,9.44519,9.63331,9.57616,9.62131
Aqr,10.3718,10.2499,10.4843,9.22641,9.50436,10.3435,10.2065,10.482,9.84551,9.28559
Emc2,9.66487,9.85826,9.49169,9.71983,9.92533,10.1967,9.98103,10.9082,10.2182,10.0359
Ywhae,10.1938,10.7241,10.607,9.67144,9.43309,9.8217,9.50739,9.65314,10.5048,9.88352
Ywhah,10.448,9.64541,9.96799,8.88092,8.91551,10.3715,10.6978,9.68722,11.1744,10.2113
Ywhaq,9.74229,9.50506,10.0882,9.34138,9.45327,10.1486,10.7101,10.6053,10.4432,9.96263
Ywhab,9.69025,9.66632,9.97726,9.85604,9.60539,9.83284,10.1072,10.7448,10.4093,10.1106
Ywhaz,9.54259,9.47766,9.94057,9.21649,9.27319,10.4516,10.3356,10.763,10.889,10.1103
Sfn,9.38256,9.42536,9.0633,9.33252,9.1246,11.0376,10.9708,10.9026,10.8545,9.9062
Ywhag,9.66102,14.0424,8.97951,9.04601,8.77334,10.5713,9.91474,9.08619,10.384,9.54149
Cand1,10.1583,9.92278,10.3399,9.40513,9.80254,10.0947,10.2941,10.4381,9.99268,9.55183
Cand2,9.13727,8.19732,10.0084,10.1105,10.0203,10.3245,10.4002,10.0254,10.3219,11.4542
Golga4,9.86371,9.66123,10.0334,10.6884,10.0592,9.66057,9.42961,9.81803,10.1635,10.6223
Pi4k2b,10.4996,10.6185,10.2051,10.4248,10.2408,9.81871,9.28345,9.81768,9.51985,9.57154
Lman1,11.3259,10.2488,9.9238,10.0735,10.9099,9.42112,9.30251,8.99008,10.0086,9.79574
Cpt1a,9.4773,10.3229,9.36177,10.1294,9.67294,9.55503,9.97053,10.2741,9.79991,11.436
Wdr75,9.90776,10.4663,10.6128,8.86411,8.97723,10.5815,10.1869,10.8911,10.4522,9.06015
Srrm2,9.98306,10.0997,10.6387,9.11557,9.19556,9.94839,10.2739,11.0282,10.1371,9.57984
Sdha,10.4456,10.1328,10.354,10.5382,10.2511,9.37345,9.18063,9.18302,10.0522,10.489
Ccbl2,11.592,12.0101,11.4375,11.2934,11.7867,7.8113,7.41146,8.02,8.88863,9.74898
Camsap1,10.3656,9.72749,10.5862,8.41306,8.9709,10.6049,11.0003,10.5282,10.4246,9.37887
Sec24a,9.95267,9.74469,9.29324,10.8586,10.8059,10.4811,9.53216,9.79357,10.0308,9.50719
Itga3,8.647,9.41647,8.69732,8.95264,9.51636,11.2541,11.2484,11.5467,10.5155,10.2055
Ttc37,10.2698,9.85135,10.0548,9.65213,9.93406,10.044,10.1152,10.228,10.1547,9.69592
Vps51,9.90657,9.92162,9.60147,9.86588,9.56466,10.4097,10.1971,10.4258,9.84054,10.2667
Ano6,8.98947,8.45476,11.3237,9.42329,9.53141,9.90524,10.9711,10.5477,10.4558,10.3975
